term,language,definition,categories,target
kiri bala,Sinhala,Lactating bitch,Gender,Female
kitajca,Polish,,Nationality,China
kitajce,Polish,,Nationality,China
kitajców,Polish,,Nationality,China
kitajcy,Polish,,Nationality,China
kitajec,Polish,Ethnic slur directed at Chinese people,Nationality,China
Klandestin,Maltese,Derogatory term for illegal imigrant,Nationality,
knacker,English,An Irish Traveller.,Nationality,Ireland
knackers,English,An Irish Traveller.,Nationality,Ireland
kneegroes,English,Alternative form of negro,Ethnicity,African American
kneegrow,English,Alternative form of negro,Ethnicity,African American
kochchiya,Sinhala,A person of Indian descent.,Nationality,India
koelie,Dutch,Coolie; derogatory for people of Indonesian and Hindi(-Surinamese) origins.,Nationality,Indonesia
koelies,Dutch,Coolie; derogatory for people of Indonesian and Hindi(-Surinamese) origins.,Nationality,Indonesia
koelietje,Dutch,Coolie; derogatory for people of Indonesian and Hindi(-Surinamese) origins.,Nationality,Indonesia
kokot,Slovak,penis vulgar naming of a man,Gender,Male
kokujin,Japanese,Japanese term for a black person.,Ethnicity,
kollo gahapan,Sinhala,A homosexual,Sexual Orientation,Homosexual
komunjara,Bosnian,Communist Atheist or non believer,Religion,Atheism
konus,Polish,Dwarf Short person,Disability,
konusa,Polish,Dwarf Short person,Disability,
konusach,Polish,Dwarf Short person,Disability,
konusami,Polish,Dwarf Short person,Disability,
konusem,Polish,Dwarf Short person,Disability,
konusi,Polish,Dwarf Short person,Disability,
konusie,Polish,Dwarf Short person,Disability,
konusom,Polish,Dwarf Short person,Disability,
konusów,Polish,Dwarf Short person,Disability,
konusowi,Polish,Dwarf Short person,Disability,
konusy,Polish,Dwarf Short person,Disability,
koona,Hindi,,Ethnicity,African
kooni,Persian,Homosexual,Sexual Orientation,Homosexual
kopvod,Dutch,A Muslim; one who wears a headscarf,Religion,Islam
kopvodden,Dutch,A Muslim; one who wears a headscarf,Religion,Islam
kopvoddentaks,Dutch,Tax on headscarves,Religion,Islam
kopvoddentaksen,Dutch,Tax on headscarves,Religion,Islam
kopvoddentaksje,Dutch,A Muslim; one who wears a headscarf,Religion,Islam
kopvoddrager,Dutch,Moslima with headscarf literally head-rag-wearer.,Religion,Islam
kopvodje,Dutch,A Muslim; one who wears a headscarf,Religion,Islam
kora,Hausa,,Nationality,Lebanon
kossa,Swedish,An unlikable woman A cow,Gender,Female
kossan,Swedish,An unlikable woman A cow,Gender,Female
kossans,Swedish,An unlikable woman A cow,Gender,Female
kossas,Swedish,An unlikable woman A cow,Gender,Female
kossor,Swedish,An unlikable woman A cow,Gender,Female
kossorna,Swedish,An unlikable woman A cow,Gender,Female
kossornas,Swedish,An unlikable woman A cow,Gender,Female
kossors,Swedish,An unlikable woman A cow,Gender,Female
koszerna,Polish,,Ethnicity,Jews
koszerne,Polish,,Ethnicity,Jews
koszerni,Polish,,Ethnicity,Jews
koszerny,Polish,Jewish Kosher,Ethnicity,Jews
kotiya,English,A Tamil.,Ethnicity,Tamil
kotiyas,English,A Tamil.,Ethnicity,Tamil
köylü,Turkish,Peasant,Class,
kozojebca,Polish,Ethnic slur against Muslims,Religion,Islam
kozojebców,Polish,,Religion,Islam
kozojebcy,Polish,,Religion,Islam
kraut,English,A German most specifically during World War II. From Sauerkraut.,Nationality,Germany
krauts,English,A German most specifically during World War II. From Sauerkraut.,Nationality,Germany
kreng,Dutch,An unkind or crass woman A cadaver,Gender,Female
kringspiermusketier,Dutch,Sphincter musketeer; a male homosexual,Sexual Orientation,Homosexual
Krueppel,German,cripple,Disability,
krympling,Swedish,A disabled person,Disability,
krymplingar,Swedish,A disabled person,Disability,
krymplingarna,Swedish,A disabled person,Disability,
krymplingarnas,Swedish,A disabled person,Disability,
krymplingars,Swedish,A disabled person,Disability,
krymplingen,Swedish,A disabled person,Disability,
krymplingens,Swedish,A disabled person,Disability,
krymplings,Swedish,A disabled person,Disability,
Ku Jienge,Dinka,Dinka of the South Sudan ethnic group,Ethnicity,Dinka
kudłacz,Polish,A Jewish person,Ethnicity,Jews
kudłacza,Polish,,Ethnicity,Jews
kudłacze,Polish,,Ethnicity,Jews
kudłaczów,Polish,,Ethnicity,Jews
kudłaczy,Polish,,Ethnicity,Jews
kuffar,Arabic,A black person (South Africa) A non-Muslim of any ethnicity. Derived from Arabic Kafir - disbeliever or infidel.,Nationality,Islam
kulas,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasa,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasach,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasami,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasem,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasie,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasom,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasów,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasowi,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulasy,Polish,A disabled person; someone who is unable to walk properly,Disability,
kulaṭā,Hindi,,Gender,Female
kulataa,Hindi,,Gender,Female
kulturberikare,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
kulturberikaren,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
kulturberikarens,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
kulturberikares,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
kulturberikarna,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
kulturberikarnas,Swedish,A Middle Eastern immigrant presumed to be a criminal,Ethnicity,Arabs
Kümmeltürke,German,A Turkish or middle eastern person,Nationality,Turkey
Kümmeltürken,German,A Turkish or middle eastern person,Nationality,Turkey
kūna,Hindi,,Ethnicity,African
kuni,Persian,Homosexual Generalized insult e.g. asshole,Sexual Orientation,Homosexual
kunt,English,Intentional misspelling of cunt,Gender,Female
kurew,Polish,prostitute whore; slut; bitch.,Gender,Female
kurewka,Polish,prostitute whore; slut; bitch.,Gender,Female
kurombo,Japanese,Japanese term for a black male from kuro (black color) and bo (young man).,Ethnicity,
kurusakaraya,Sinhala,Cross bearer or crusader a slur on Christian,Religion,Christianity
kurusakarayo,Sinhala,Cross bearer or crusader a slur on Christian,Religion,Christianity
kurva,Slovak,A woman akin to whore,Gender,Female
kurwa,Polish,prostitute whore; slut; bitch.,Gender,Female
kurwach,Polish,prostitute whore; slut; bitch.,Disability,
kurwami,Polish,prostitute whore; slut; bitch.,Disability,
kurwę,Polish,prostitute whore; slut; bitch.,Disability,
kurwie,Polish,prostitute whore; slut; bitch.,Disability,
kurwisko,Polish,prostitute whore; slut; bitch.,Gender,Female
kurwo,Polish,prostitute whore; slut; bitch.,Disability,
kurwom,Polish,prostitute whore; slut; bitch.,Disability,
kurwy,Polish,prostitute whore; slut; bitch.,Gender,Female
Kushi,English,A person of east African descent from Cush (modern day Ethiopia or Sudan). Any black African.,Ethnicity,
Kushis,English,A person of east African descent from Cush (modern day Ethiopia or Sudan). Any black African.,Ethnicity,
Kushite,English,A person of east African descent from Cush (modern day Ethiopia or Sudan). Any black African.,Ethnicity,
Kushites,English,A person of east African descent from Cush (modern day Ethiopia or Sudan). Any black African.,Ethnicity,
kut-marokkaan,Dutch,Moroccan literally cunt--Moroccan.,Ethnicity,
kutmarokkaan,Dutch,Moroccan literally cunt--Moroccan.,Ethnicity,
kwai lo,Chinese,Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as foreign devil; more literally might be ghost dude/bloke/guy/etc. Gwei means ghost. The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow a chap or a bloke). Once a mark of xenophobia the word is now in general informal use but still considered derogatory.,Ethnicity,
kwakang,Cebuano,A person of Chinese descent,Nationality,China
kway kalar,Burmese,Muslim dogs,Ethnicity,Rohingya
kwerekwere,Afrikaans,A foreigner usually intended without offence,Nationality,
kweri kweri,Afrikaans,A foreigner usually intended without offence,Nationality,
kwiri kwiri,Afrikaans,A foreigner usually intended without offence,Nationality,
kyankyasai,Hausa,Cockroach,Ethnicity,
kyankyaso,Hausa,Cockroach,Ethnicity,
kyke,English,An Ashkenazi Jew. From kikel Yiddish for circle. Illiterate immigrant Jews signed legal documents with an O (similar to an X).,Ethnicity,Jews
kykes,English,An Ashkenazi Jew. From kikel Yiddish for circle. Illiterate immigrant Jews signed legal documents with an O (similar to an X).,Ethnicity,Jews
labrego,Portuguese,Used to describe someone ignorant; a farmer,Class,
labu,Russian,A Latvian person used by Russian immigrants in Latvia,Nationality,Latvia
lacur,Indonesian,,Gender,Female
lafirynd,Polish,Prostitute,Gender,Female
lafirynda,Polish,Prostitute,Gender,Female
lafiryndach,Polish,Prostitute,Gender,Female
lafiryndami,Polish,Prostitute,Gender,Female
lafiryndę,Polish,Prostitute,Gender,Female
lafiryndo,Polish,Prostitute,Gender,Female
lafiryndom,Polish,Prostitute,Gender,Female
lafiryndy,Polish,Prostitute,Gender,Female
lafiryndzie,Polish,Prostitute,Gender,Female
lagartona,Spanish,prostitute,Gender,Female
Lai ca,Vietnamese,Male homosexual,Sexual Orientation,Homosexual
lai cai,Vietnamese,Male homosexual,Sexual Orientation,Homosexual
lai du,Vietnamese,Lesbian,Sexual Orientation,Homosexual
lai duc,Vietnamese,Lesbian,Sexual Orientation,Homosexual
laikci,Turkish,Insulting word for secular people in Turkey.,Nationality,Atheism
lala zai,Malay,An unsophisticated person in Cantonese-speaking parts of Malaysia,Class,
lamemurata,Samburu,Samburu slur for a member of the Luo ethnic group meaning uncircumcised.,Ethnicity,Luo
lammkött,Swedish,A very young sexually attractive woman,Gender,Female
lammköttet,Swedish,A very young sexually attractive woman,Gender,Female
lammköttets,Swedish,A very young sexually attractive woman,Gender,Female
lammkötts,Swedish,A very young sexually attractive woman,Gender,Female
Landya,Marathi,A Muslim. A small penis.,Religion,Islam
langsiya,Sinhala,Used by the Sinhala majority to refer to a Burgher person of Dutch origin living in Sri Lanka.,Nationality,Netherlands
lansiya,Sinhala,Used by the Sinhala majority to refer to a Burgher person of Dutch origin living in Sri Lanka.,Nationality,Netherlands
laowai,Mandarin Chinese,Foreigner,Nationality,
laska,Polish,A particularly sexy woman,Gender,Female
Latin,Bosnian,Derogatory term for Croatian of Catholic christian faith,Nationality,Croatia
latrino,English,In the USA a person of Latino descent from latrine. Extremely offensive.,Ethnicity,
latrinos,English,In the USA a person of Latino descent from latrine. Extremely offensive.,Ethnicity,
lavender mafia,English,,Sexual Orientation,Homosexual
lawn jockey,English,A black person from the traditional statue. A decorative garden statue,Ethnicity,
lawn jockeys,English,A black person from the traditional statue. A decorative garden statue,Ethnicity,
Leb,English,A person of Lebanese descent.,Nationality,Lebanon
lebb,Swedish,Lesbian,Gender,Female
Lebbo,English,A person of Lebanese descent.,Nationality,Lebanon
Lebbos,English,A person of Lebanese descent.,Nationality,Lebanon
Lebs,English,A person of Lebanese descent.,Nationality,Lebanon
lefties,English,An Arab from the practice in certain Middle Eastern countries of chopping off a criminals hand. A left-handed person,Ethnicity,
lefty,English,An Arab from the practice in certain Middle Eastern countries of chopping off a criminals hand. 1 A left-handed person. 2 A person who endorses a perceived left-wing ideology.,Ethnicity,Arabs
lekgoa,Afrikaans,A European,Ethnicity,European
lemonhead,English,An Asian person.,Ethnicity,
lemonheads,English,An Asian person.,Ethnicity,
leprechaun,English,A person of Irish descent. A mythical creature from Irish folklore,Nationality,Ireland
leprechauns,English,A person of Irish descent. A mythical creature from Irish folklore,Nationality,Ireland
lesb,Polish,Lesbian,Sexual Orientation,Homosexual
lesba,Polish,Lesbian,Sexual Orientation,Homosexual
lesbach,Polish,Lesbian,Sexual Orientation,Homosexual
lesbami,Polish,Lesbian,Sexual Orientation,Homosexual
lesbę,Polish,Lesbian,Sexual Orientation,Homosexual
lesbie,Polish,Lesbian,Sexual Orientation,Homosexual
lesbo,Dutch,Lesbian,Sexual Orientation,Homosexual
lesbom,Polish,Lesbian,Sexual Orientation,Homosexual
lesby,Polish,Lesbian,Sexual Orientation,Homosexual
levis,Spanish,lesbian,Sexual Orientation,Homosexual
libtard,English,Contraction of liberal and retard,Disability,
lichtekooi,Dutch,Whore,Gender,Female
lichtekooien,Dutch,Whore,Gender,Female
lichtekooitje,Dutch,Whore,Gender,Female
lijp,Dutch,A Jewish person Cool,Ethnicity,Jews
limey,English,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,Nationality,United Kingdom
limeys,English,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,Nationality,United Kingdom
ling ling,English,Broad derogatory term for someone of Asian appearance/descent.,Ethnicity,
ling lings,English,Broad derogatory term for someone of Asian appearance/descent.,Ethnicity,
lipstick lesbian,English,A lesbian with visible femininity,Sexual Orientation,Homosexual
lipstick lesbians,English,,Sexual Orientation,Homosexual
lobby gay,English,Supporters of a presumed gay agenda,Sexual Orientation,Homosexual
lodziar,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziara,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziarach,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziarami,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziarę,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziaro,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziarom,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziary,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
lodziarze,Polish,A promiscuous woman General insult meaning cocksucker,Gender,Female
loempiavouwer,Dutch,A Vietnamese person. Lumpia-folder - a lumpia is a type of spring roll often sold by Vietnamese street vendors.,Nationality,Vietnam
lofan,Chinese,In China a word meaning Caucasian or American.,Nationality,United States
longuu,Samburu,Samburu slur for members of the Turkana ethnic community from smelly or unclean.,Ethnicity,Turkana
longuulkitkit,Masai,Maasai slur for members of the Kamba ethnic community from smelly armpits.,Ethnicity,Maasai
lonte,Indonesian,a female prostitute,Gender,Female
lonte arab,Indonesian,Arabic whore,Ethnicity,Arabs
loosu ponnu,Tamil,A bimbo cliched in Tamil cinema,Gender,Female
lowlander,English,A person in the Netherlands which is 20% below sea level.,Nationality,Netherlands
lowlanders,English,A person in the Netherlands which is 20% below sea level.,Nationality,Netherlands
lubra,English,An Australian Aboriginal woman.,,
lubras,English,An Australian Aboriginal woman.,,
Luegenpresse,German,Literally lying press an accusation by far-right political movements about the dishonesty of mainstream media. As with fake news in the United States may be interpreted as a coded slur against elites.,Class,
lugan,English,A Lithuanian particularly a Lithuanian American.,Nationality,Lithuania
lugans,English,A Lithuanian particularly a Lithuanian American.,Nationality,Lithuania
Lugenpresse,German,Literally lying press an accusation by far-right political movements about the dishonesty of mainstream media. As with fake news in the United States may be interpreted as a coded slur against elites.,Class,
lungereza,Ganda,An English person.,Ethnicity,English
lutka,Finnish,Slut,Gender,Female
lutkaa,Finnish,Slut,Gender,Female
lutkaan,Finnish,Slut,Gender,Female
lutkan,Finnish,Slut,Gender,Female
lutkat,Finnish,Slut,Gender,Female
lutkia,Finnish,Slut,Gender,Female
lutkien,Finnish,Slut,Gender,Female
lutkiin,Finnish,Slut,Gender,Female
maahantunkeutuja,Finnish,Immigrant asylum seeker,Class,
macaca,French,Originally used by francophone colonialists in Central Africas Belgian Congo to refer to the native population; use has expanded to other groups including North Africans and Indians.,Ethnicity,
Macaco,Portuguese,A person of African ethnicity it deshumanizes persons of African descent. r A monkey,Ethnicity,African
Macacos,Portuguese,A person of African ethnicity it deshumanizes persons of African descent. r A monkey,Ethnicity,African
macaroni,Italian,A person of Italian descent.,Nationality,Italy
Macedonist,Bulgarian,A derogatory term used by Bulgarians to identify Macedonians,Nationality,Macedonia
macengi,Kamba (Kenya),Akamba slur for members of the Mbeere ethnic community from a dangerous small animal that destroys crops.,Ethnicity,
machosexual,English,An excessively masculine person,Gender,Male
mack,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal.,Nationality,Ireland
mackerel snapper,English,A Roman Catholic. The term originated in the U.S. in the 1850s and refers to the custom of Friday abstinence.,Religion,Christianity
mackerel snappers,English,A Roman Catholic. The term originated in the U.S. in the 1850s and refers to the custom of Friday abstinence.,Religion,Christianity
macks,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal.,Nationality,Ireland
Madrasi,English,A person from the Indian city of Chennai A person from southern India.,Nationality,India
maekka,Sinhala,Person of Mexican or Hispanic descent. This term is used by Sri Lankan diaspora living in USA.,Nationality,Mexico
maessa,Sinhala,Person of Mexican or Hispanic descent. This term is used by Sri Lankan diaspora living in USA.,Nationality,Mexico
magi,Arabic,,Religion,Zoroastrianism
maho,Indonesian,An effeminate man,Sexual Orientation,Homosexual
maiala,Italian,In Tuscany refers to a whore or bitch,Gender,Female
majoo,Arabic,,Religion,Zoroastrianism
majoos,Arabic,,Religion,Zoroastrianism
maju,Arabic,,Religion,Zoroastrianism
majus,Arabic,,Religion,Zoroastrianism
makaak,Dutch,A person of African descent A monkey,Ethnicity,African
makaakje,Dutch,A person of African descent A monkey,Ethnicity,African
makaken,Dutch,A person of African descent A monkey,Ethnicity,African
Makaronifresser,German,German term for a person of Italian descent from macaroni-eater.,Nationality,Italy
malaun,Bengali,Hindu commonly used in Bangladesh.,Ethnicity,Hinduism
maldito Bori,Spanish,Spanish for goddamned Puerto Ricans,Nationality,United States
malingsia,Javanese,A slang term used in Indonesia to refer to Malaysian people. Literally means thief.,Nationality,Malaysia
mallam,Yoruba,Beggar. Used by Yoruba to describe the Hausa and Fulani ethnic groups.,Ethnicity,Fula
malo,Hausa,A person of Hausa ethnicity A melon,Ethnicity,Hausa
malu,Hausa,A cow. An uncivilized person or one who without direction in life. Used by people in southern Nigeria to refer to Northern (Hausa) Nigerians,Class,
mameluco,Portuguese,In Brazil a person of mixed indigenous and European parentage. In Africa and Asia any person of mixed parentage.,Ethnicity,
mammy,English,Derogatory term referring to a stereotypical African-American woman Mother particularly if used by a child,Ethnicity,African American
mamu,Finnish,Immigrant. Shortened from maahanmuuttaja.,Class,
mamupatja,Finnish,Immigrant mattress. A woman who sleeps with immigrants or asylum seekers.,Gender,Female
mamupatjat,Finnish,Immigrant mattress. A woman who sleeps with immigrants or asylum seekers.,Gender,Female
mamut,Finnish,Immigrant. Shortened from maahanmuuttaja.,Class,
mandilon,Spanish,An emasculated male or a male subjugated to a female,Gender,Male
mangia cake,English,A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian literally cake eater). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.,Ethnicity,
mangia cakes,English,A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian literally cake eater). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.,Ethnicity,
mangiacrauti,Italian,A person of German descent from cabbage eater.,Nationality,Germany
mangiapatate,Italian,A person of German descent from potato eater.,Nationality,Germany
mangiarane,Italian,A French person,Nationality,Italy
manne,Finnish,A Romani man,Ethnicity,Romani
mannet,Finnish,A Romani man,Ethnicity,Romani
manwijf,Dutch,A woman who looks like a man,Gender,Female
Maraca,Spanish,Prostituta Instrumento musical,Nationality,Chile
Marakkala,Sinhala,A muslim A South Asian Muslim community in Sri Lanka,Religion,Islam
Marakkalaya,Sinhala,A muslim A South Asian Muslim community in Sri Lanka,Religion,Islam
Marakkalayo,Sinhala,A muslim A South Asian Muslim community in Sri Lanka,Religion,Islam
maricantunga,Spanish,Gay or effeminiate,Gender,Male
maricantungas,Spanish,Gay or effeminiate,Gender,Male
maricas,Portuguese,An effeminate man,Sexual Orientation,Homosexual
maricon,Spanish,Homosexual,Sexual Orientation,Homosexual
maricona,Spanish,Female equivalent of maricon,Gender,Female
mariconeo,Spanish,Homosexual sex,Gender,Homosexual
mariconeos,Spanish,Homosexual sex,Gender,Homosexual
maricones,Spanish,Homosexual man,Gender,Homosexual
maricons,Spanish,Homosexual man,Gender,Homosexual
maricota,Spanish,Gay or effeminiate,Gender,Male
maricotas,Spanish,Gay or effeminiate,Gender,Male
marrano,Spanish,A Jewish convert to Christianity usually for social and not spiritual reasons; derives from the Inquisition; today can refer to a Jew who marries a Catholic. Marrano is also a Spanish slang term for dirty pig or swine.,Ethnicity,Christianity
marron,Spanish,In Latin America a person of perceived Amerindian or African slave descent. Peruvian president Alejandro Toledo was nicknamed el Cholo. In the USA or Brazil a person of perceived Mestizo descent especially a teenager or young person in the lowrider subculture. It may be derogatory depending on circumstances.,Ethnicity,
Masshole,English,A person from Massachusetts,Nationality,United States
Massholes,English,,Nationality,United States
mất dạy,Vietnamese,An uneducated person,Disability,
mattaya,Sinhala,Used by the Sinhala/Tamil majority to refer to a person of Muslim origin hailing from East of the island (Ampara Pothuvil Madakalapuwa area).,Religion,Islam
matu,Finnish,Immigrant asylum seeker,Class,
mayate,Spanish,Latino word for a black person.,Ethnicity,
meatball patriot,English,An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.,Ethnicity,Arabs
meatball patriots,English,An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.,Ethnicity,Arabs
medelander,Dutch,Immigrant especially Moroccan. Cynical usage literally co-inhabitant originally official euphemism for foreigner.,Nationality,Morocco
meid,Afrikaans,A female of African descent A girl,Ethnicity,African
meiguo guizi,Chinese,Pejorative term used in Mainland China and Taiwan to denote foreigners especially millitary enemies such as riben guizi (Japanese devils because of Second Sino-Japanese War) and meiguo guizi (American devils because of Korean War).,Ethnicity,Chinese
meki,Indonesian,Pussy,Gender,Female
melanzana,Italian,Italian word for a black person from eggplant.,Ethnicity,
melon,French,French-born offspring of North African parents,Nationality,French
Merkin,English,Similar to American.,Nationality,United States
Merkins,English,Similar to American.,Nationality,United States
mestico,Portuguese,In Brazil a person of mixed indigenous and European parentage. In Africa and Asia any person of mixed parentage.,Ethnicity,
mestizo,Spanish,Born of a Spanish parent and a Native American parent from the Spanish word for mixed.,Ethnicity,
mezza fanook,Italian,Italian term for one who is homosexual or seems homosexual.,Sexual Orientation,Homosexual
mick,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. A persons name,Nationality,Ireland
mickey,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. A persons name,Nationality,Ireland
Mickey Finn,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. An inebriating or narcotic substance,Nationality,Ireland
Mickey Finns,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. An inebriating or narcotic substance,Nationality,Ireland
mickeys,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. A persons name,Nationality,Ireland
micks,English,An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix Mc/Mac meaning son of that is commonly found in Irish surnames. In Australia used to denote a Roman Catholic 19th century on from Micheal. A persons name,Nationality,Ireland
miffo,Swedish,,Disability,
mignotta,Italian,Whore,Gender,Female
mignotte,Italian,Whore,Gender,Female
mil bag,English,In Northern Ireland a spide is a young working class male. A female is known as a millie.,Class,
mil bags,English,In Northern Ireland a spide is a young working class male. A female is known as a millie.,Class,
mili pili,Spanish,In Argentina derogatory term for affluent often Catholic women. Contraction of the female names Milagros and Pilar.,Gender,Female
millie,English,In Northern Ireland a spide is a young working class male. A female is known as a millie.,Class,
millies,English,In Northern Ireland a spide is a young working class male. A female is known as a millie.,Class,
minusválida,Spanish,,Disability,
minusválidas,Spanish,,Disability,
minusvalido,Spanish,Disabled,Disability,
minusválidos,Spanish,,Disability,
Mirza,Persian,Pejorative term for Ahmadi Muslims,Ethnicity,
Mirzai,Persian,Pejorative term for Ahmadi Muslims,Ethnicity,
mischlingskinder,German,Children of mixed black and white heritage,Ethnicity,African
missfoster,Swedish,The result of a miscarriage,Disability,
Missgeburt,German,Someone with congenital disorder An ugly person,Disability,
mithangel,Hebrew,A person who participates in anal intercourse.,Sexual Orientation,Homosexual
mlungu,Zulu,,Ethnicity,European
mlungus,Zulu,,Ethnicity,European
moch,English,A Jewish person (first used in the 1930s).,Ethnicity,
mocho,Spanish,a person without an arm or a leg,Disability,
mochs,English,A Jewish person (first used in the 1930s).,Ethnicity,
mock,English,A Jewish person (first used in the 1930s). To poke fun at someone,Ethnicity,
mockey,English,A Jewish person (first used in the 1930s).,Ethnicity,
mockeys,English,A Jewish person (first used in the 1930s).,Ethnicity,
mockie,English,A Jewish person (first used in the 1930s).,Ethnicity,
mockies,English,A Jewish person (first used in the 1930s).,Ethnicity,
mocks,English,A Jewish person (first used in the 1930s). To poke fun at someone,Ethnicity,
mocky,English,A Jewish person (first used in the 1930s).,Ethnicity,
mocro,Dutch,Moroccan,Ethnicity,
modaya,Tamil,An idiot,,
moelander,Dutch,Immigrant primarily labour migrant from central and eastern Europe.,,
mof,Dutch,Dutch: A German. Considered a derogatory term reflecting Dutch resentment of the German occupation of the Netherlands during the Second World War. Afrikaans: A homosexual.,Nationality,Germany
moffen,Dutch,In Dutch the most common term for the German people after the regular/official one is mof. It is regarded as a derogative term used exclusively for Germans and reflected Dutch resentment of the German occupation of the Netherlands during the Second World War and the respective German actions. The word Mofrika (Germany) is a portmanteau of Africa and mof. In the late 16th century the area now known as East Frisia and Emsland and the people that lived there were referred to as Muffe. At the time that the Netherlands were by far the richest country in the whole of Europe and these people were looked down upon greatly by the Dutch. The area of Western Lower Saxony was at that time very poor and a good source for many Dutch people looking for cheap labour. The inhabitants of this region were known to be rather reserved and were often described as grumpy rude and unsophisticated by the Dutch. Later the term was used to describe the whole of Germany which at the time wasnt much better off economically than Western Lower Saxony mainly due to the various wars waged on its territory by foreign powers. The term seemed to have died out around 1900 but returned following the German invasion of the Netherlands in 1940. A popular humorous (but false) etymology of the word mof by the Dutch is that it is actually a German abbreviation meaning Menschen ohne Freunde (people without friends).,Nationality,Germany
moffie,Afrikaans,an effeminiate male homosexual A mitten,Gender,Homosexual
moffies,Afrikaans,an effeminiate male homosexual,Gender,Homosexual
mogolico,Spanish,Derogatory term for a mentally disabled person,Disability,
moher,Polish,older person who support the views expressed by Polish conservative Catholic movement with its main representative being the media strictly connected with Father Tadeusz Rydzyk. This expression originated from the characteristic headgear worn by the stereotyped representatives of this circle.,Religion,Christianity
mọi,Vietnamese,tribal ethnic minorities (considered uncivilized savages) people with darker skin tone Everybody; all human beings (Muong language of Northern Vietnam),Class,
mojada,Spanish,Equivalent of wetback,Ethnicity,Hispanic
mojadas,Spanish,Equivalent of wetback,Ethnicity,Hispanic
mojado,Spanish,Used by Mexicans to refer to other Mexicans in contrast to Mexican-Americans.,Nationality,Mexico
mojados,Spanish,Equivalent of wetback,Ethnicity,Hispanic
mojo,Spanish,Used by Mexicans to refer to other Mexicans in contrast to Mexican-Americans.,Nationality,Mexico
